ID,tanggal,judul,narasi,nama file gambar,text,label
238057,13-Jul-20,narasi tito karnavian berideologi komunis disekolahkan partai komunis china beijing,tito karnivan beridiologi komunis pki sekolahlah partai komunis china baijing,238057.jpg,narasi tito karnavian berideologi komunis disekolahkan partai komunis china beijing tito karnivan beridiologi komunis pki sekolahlah partai komunis china baijing,1
238158,6-Jul-20,anies seberat beratnya pekerjaan ringan kerjakan,seberat beratnya pekerjaan ringan kerjakan,238158.jpg,anies seberat beratnya pekerjaan ringan kerjakan seberat beratnya pekerjaan ringan kerjakan,1
238865,22-Apr-20,hindu india melemparkan patung buatan laut menolong corona,hindu india melemparkan patung buatan laut lakukan membela virus corona maha suci allah tuhan semesta alam,238865.jpg,hindu india melemparkan patung buatan laut menolong corona hindu india melemparkan patung buatan laut lakukan membela virus corona maha suci allah tuhan semesta alam,1
248298,22-Oct-19,rscm praktekkan penyedotan plug venasaluran darah,rscm dipraktekkan penyedotan plug sumbatan venasaluran darah jantung pake ring bypass semoga teknologi membawa khabar gembira… yg dideteksi sumbatan jantung koroner pasang ring operasi,248298.jpg,rscm praktekkan penyedotan plug venasaluran darah rscm dipraktekkan penyedotan plug sumbatan venasaluran darah jantung pake ring bypass semoga teknologi membawa khabar gembira… yg dideteksi sumbatan jantung koroner pasang ring operasi,1
255176,1-May-20,permohonan kelonggaran angsuran ojk,sekedar info yg ansurancicilan kelonggaran leasingpembiayaan silahkan pengajuan kantor ojk otoritas jasa keuangan proses online pengajuan padat silahkan pengajuan tgl mei pengajuan silahkan hub insya allah kelonggaran pembayaran ansurancicilan sy harap bantu share menbantu saudara wabah corona blm stabil terimah kasih,255176.jpg,permohonan kelonggaran angsuran ojk sekedar info yg ansurancicilan kelonggaran leasingpembiayaan silahkan pengajuan kantor ojk otoritas jasa keuangan proses online pengajuan padat silahkan pengajuan tgl mei pengajuan silahkan hub insya allah kelonggaran pembayaran ansurancicilan sy harap bantu share menbantu saudara wabah corona blm stabil terimah kasih,1
267051,15-Sep-18,aksi bem sejabotabek,assalamua ’ laikum warahmatullahi wabarakatuh lihat tv ndak ini… lihat sosmed ajakita viralkan…,267051.jpg,aksi bem sejabotabek assalamua ’ laikum warahmatullahi wabarakatuh lihat tv ndak ini… lihat sosmed ajakita viralkan…,0
269336,18-Mar-17,sinar kosmik berbahaya radiasi,malam pastikan mematikan telepon tv singapura mengumumkan berita tolong selepas baca lindungi beritahukan kerabat terkasih temanteman malam berbahaya radiasi sinar kosmik melewati bumi matikan ponsel biarkan ponsel tubuh menyebabkan kerusakan jaringan tubuh silahkan cek google nasa bbc news menebarkan pesan peduli src spaceweathercom,269336.jpg,sinar kosmik berbahaya radiasi malam pastikan mematikan telepon tv singapura mengumumkan berita tolong selepas baca lindungi beritahukan kerabat terkasih temanteman malam berbahaya radiasi sinar kosmik melewati bumi matikan ponsel biarkan ponsel tubuh menyebabkan kerusakan jaringan tubuh silahkan cek google nasa bbc news menebarkan pesan peduli src spaceweathercom,1
272438,8-Jan-20,smkn klarifikasi perihal kabar viral pasang foto presiden joko widodo,lokasi smkn jakarta utara sekolah negeri memasang foto presiden… 😡 mohon viralkan… memasang foto presiden sang kepala sekolah diproses hukum…,272438.jpg,smkn klarifikasi perihal kabar viral pasang foto presiden joko widodo lokasi smkn jakarta utara sekolah negeri memasang foto presiden… 😡 mohon viralkan… memasang foto presiden sang kepala sekolah diproses hukum…,0
282152,11-Apr-19,pembuatan ktp orang gila ambisi kekuasaan,parah…memaksakan wajar ambisi kekuasaan… pembuatan ktp orang gilabeneran bekasi,282152.jpg,pembuatan ktp orang gila ambisi kekuasaan parah…memaksakan wajar ambisi kekuasaan… pembuatan ktp orang gilabeneran bekasi,1
288490,12-Mar-20,daniel radcliffe positiv terinfeksi corona covid,breaking daniel radcliffe test posotive for coronavirus the actor is said to be the first famous person to publicly confirmed,288490.jpg,daniel radcliffe positiv terinfeksi corona covid breaking daniel radcliffe test posotive for coronavirus the actor is said to be the first famous person to publicly confirmed,1
